#Mean longitude;Mean latitude;Mean altitude;SNR;stddev longitude;stddev latitude;stddev altitude;stddev SNR; label
6.7105911;46.5898934;920.3055046;31;0.0000015;nan;0.6931956;4;Fagus_sylvatica
6.7108010;46.5894373;918.1641509;31;0.0000055;0.0000024;1.0282967;3;Fagus_sylvatica
6.7103526;46.5924608;912.5157895;34;0.0000131;0.0000034;2.0568917;6;Quercus_robur
6.7111130;46.5915515;914.6202247;29;0.0000006;nan;0.2711523;5;Quercus_robur
6.7118615;46.5916909;914.2119565;29;0.0000011;nan;0.3269897;4;Picea_abies
6.7108619;46.5918002;915.6336449;33;0.0000052;nan;1.7307523;7;Picea_abies
6.7112813;46.5915420;917.1993610;34;0.0000944;0.0000052;1.5584664;2;Picea_abies
6.7119018;46.5916985;913.8029851;29;0.0000067;0.0000051;1.8295232;6;Picea_abies
6.7104913;46.5916527;912.8089888;30;0.0000001;0.0000006;0.0788120;1;Picea_abies
6.7113843;46.5917461;917.0149425;29;0.0000048;0.0000068;0.2714494;5;Picea_abies
6.7103869;46.5914919;914.3711111;33;0.0000083;0.0000072;1.6246876;4;Picea_abies
6.7114872;46.5917854;916.1216216;30;0.0000014;0.0000025;0.2107068;6;Picea_abies
6.7113578;46.5915057;916.0594203;32;0.0000014;0.0000025;0.4582003;6;Picea_abies
6.7107857;46.5914764;918.1074468;33;0.0000099;0.0000056;1.5743448;4;Picea_abies
6.7104417;46.5916863;913.1277228;31;0.0000029;0.0000029;0.8657531;6;Picea_abies
6.7117051;46.5917092;918.1290323;27;0.0000058;0.0000074;1.9938929;6;Picea_abies
6.7106399;46.5915862;913.0094595;33;0.0000029;0.0000071;0.2829234;3;Picea_abies
6.7119314;46.5917001;915.0577982;34;0.0000067;0.0000096;1.2459324;7;Picea_abies
6.7110833;46.5916095;916.7253968;33;0.0000024;0.0000044;0.4625561;5;Picea_abies
6.7114060;46.5915503;916.5244898;33;0.0000005;nan;0.3825428;6;Picea_abies
6.7103806;46.5914593;914.3709677;34;0.0000030;0.0000053;0.6195004;5;Picea_abies
6.7113417;46.5915329;917.2292308;32;0.0000206;0.0000056;0.8876456;7;Picea_abies
6.7107112;46.5914856;918.4136986;30;nan;0.0000015;0.1197201;2;Picea_abies
6.7106229;46.5915772;912.3362500;32;0.0000019;0.0000070;0.8842007;6;Picea_abies
6.7113277;46.5917529;917.1881720;30;0.0000189;0.0000030;0.9176700;2;Picea_abies
6.7114977;46.5917468;914.5437500;30;0.0000032;nan;0.7988028;7;Picea_abies
6.7116568;46.5917291;918.2915663;30;0.0000183;0.0000053;0.7915525;4;Picea_abies
6.7112524;46.5917680;917.2609195;30;0.0000034;nan;0.3951884;7;Picea_abies
6.7112336;46.5915413;917.8135922;34;0.0000829;0.0000041;1.6011554;7;Picea_abies
6.7113893;46.5915263;915.6759036;31;0.0000046;0.0000023;0.2114724;6;Picea_abies
6.7105828;46.5917262;914.9000000;35;0.0000004;nan;0.0822753;6;Picea_abies
6.7111923;46.5895148;925.8648936;33;0.0000017;0.0000122;0.3322097;4;Picea_abies
6.7111935;46.5895024;925.7744681;33;0.0000002;0.0000020;0.0436040;4;Picea_abies
6.7105328;46.5915292;917.8279070;31;0.0000016;0.0000050;0.2165540;7;Picea_abies
6.7106333;46.5917173;913.4815217;33;0.0000006;0.0000013;0.0440587;5;Picea_abies
